ticker,chunk,raw,chunk_norm,norm,percentile_rank,conviction,layer,industry,momentum,flow,real_fields,fundamentals_real_fields,fundamentals_quality,data_source,market_activity_source,market_activity_data_type,options_premium_is_real,dark_pool_data_is_real,global_ranking_status
AIFC,1,6.47,10.0,10.0,95.9,A,4,Software - Infrastructure,-94.0,low_volume,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
AIHS,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AII,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AIIOW,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AIMDW,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AIN,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AIO,1,5.31,6.05,6.05,79.6,A,9,Asset Management,-5.3,neutral,5,5,substantial,polygon,polygon,stock_market_proxy,False,False,recomputed
AIQUY,3,5.31,6.14,6.05,79.6,B,9,Specialty Chemicals,-8.3,neutral,5,5,substantial,simulated,simulated,neutral_default,False,False,recomputed
AIRE,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AIRG,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AIRS,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AIRT,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AISP,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AIT,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AIV,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
AIXA.DE,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AIXC,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AIXI,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AIZ,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AJG,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AJINY,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
AKAM,1,5.41,6.67,6.67,84.5,C,7,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
AKAN,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ALAB,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ALB,1,5.95,10.0,10.0,95.9,A,9,Specialty Chemicals,-41.4,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ALC,1,5.19,5.31,5.31,75.4,A,9,Medical Instruments & Supplies,-26.1,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ALCO,1,4.99,4.07,4.08,5.6,A,9,Farm Products,-7.3,low_volume,8,8,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ALCY,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALDF,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ALF,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ALFUU,3,4.8,2.91,2.91,2.4,A,9,Shell Companies,-9.8,low_volume,6,6,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ALGN,1,4.92,3.64,3.65,4.7,A,9,Medical Instruments & Supplies,-13.4,neutral,7,7,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ALHC,3,5.15,5.13,5.06,74.8,A,9,Healthcare Plans,-19.3,neutral,7,7,high,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALISU,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ALIT,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALKS,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALKT,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALL,2,5.0,4.11,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ALLE,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALLR,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ALLY,1,5.52,7.35,7.35,88.6,A,3,Credit Services,-3.5,neutral,6,6,high,polygon,polygon,stock_market_proxy,False,False,recomputed
ALMU,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ALNT,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ALNY,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,polygon,polygon,stock_market_proxy,False,False,recomputed
ALOVW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
ALOY,1,5.0,4.13,4.14,6.2,C,9,,,neutral,0,0,none,finnhub,finnhub,stock_market_proxy,False,False,recomputed
ALRS,2,4.75,2.62,2.6,1.7,B,9,Banks - Regional,-0.8,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
