ticker,chunk,raw,norm,conviction,layer,industry,momentum,flow,real_fields,data_source
ADX,2,5.16,5.07,B,9,Asset Management,-0.9,neutral,6,simulated
AEAQ,1,5.0,4.09,C,9,,,neutral,0,polygon
AEAQU,1,5.0,4.09,C,9,,,neutral,0,polygon
AEE,1,5.0,4.09,C,9,,,neutral,0,finnhub
AEF,1,5.0,4.09,C,9,,,neutral,0,finnhub
AEHR,1,5.41,6.59,C,2,,,neutral,0,polygon
AEI,1,5.84,9.2,A,9,Real Estate - Development,-67.2,neutral,7,polygon
AEIS,1,5.0,4.09,C,9,,,neutral,0,polygon
AEM,1,5.0,4.09,C,9,,,neutral,0,polygon
AEP,1,5.0,4.09,C,9,,,neutral,0,polygon
AER,3,5.0,4.12,C,9,,,neutral,0,finnhub
AES,1,5.35,6.22,C,1,,,neutral,0,finnhub
AEXA,1,5.0,4.09,C,9,,,neutral,0,finnhub
AFGD,3,5.31,5.95,B,9,,-9.6,neutral,4,polygon
AFRM,1,5.48,7.01,A,8,Credit Services,-20.0,neutral,7,polygon
AFX.DE,3,5.0,4.12,C,9,,,neutral,0,simulated
AGAE,1,5.0,4.09,C,9,,,neutral,0,polygon
AGBK,1,5.0,4.09,C,9,,,neutral,0,polygon
AGCC,1,5.0,4.09,C,9,,,neutral,0,polygon
AGI,1,5.0,4.09,C,9,,,neutral,0,finnhub
AGIO,1,5.0,4.09,C,9,,,neutral,0,finnhub
AGL,3,5.0,4.12,C,9,,,neutral,0,simulated
AGMB,1,5.0,4.09,C,9,,,neutral,0,polygon
AGNCL,1,5.0,4.09,C,9,,,neutral,0,polygon
AGNCN,1,5.08,4.58,A,9,REIT - Mortgage,-0.2,neutral,5,polygon
AGPU,1,5.0,4.09,C,9,,,neutral,0,polygon
AI,1,6.45,10.0,A,5,Software - Infrastructure,-62.9,neutral,7,finnhub
AIFC,1,5.96,9.93,A,4,Software - Infrastructure,-92.8,low_volume,7,finnhub
AIHS,1,5.0,4.09,C,9,,,neutral,0,polygon
AII,3,5.0,4.12,C,9,,,neutral,0,polygon
AIIOW,1,4.95,3.79,A,9,,0.0,elevated_volume,7,polygon
AIMDW,1,4.85,3.18,A,9,,-22.2,neutral,6,polygon
AIN,1,5.0,4.09,C,9,,,neutral,0,finnhub
AIO,1,5.22,5.43,A,9,Asset Management,0.0,low_volume,6,polygon
AIQUY,3,5.0,4.12,C,9,,,neutral,0,simulated
AIRE,1,5.0,4.09,C,9,,,neutral,0,polygon
AIRG,1,5.4,6.53,A,3,Communication Equipment,-4.1,low_volume,7,polygon
AIRS,3,5.0,4.12,C,9,,,neutral,0,finnhub
AIRT,1,5.0,4.09,C,9,,,neutral,0,polygon
AISP,1,5.0,4.09,C,9,,,neutral,0,polygon
AIT,1,5.23,5.49,A,9,Industrial Distribution,0.0,neutral,7,polygon
AIV,3,5.0,4.12,C,9,,,neutral,0,finnhub
AIXA.DE,3,5.0,4.12,C,9,,,neutral,0,simulated
AIXC,1,5.0,4.09,C,9,,,neutral,0,finnhub
AIXI,3,5.0,4.12,C,9,,,neutral,0,simulated
AIZ,1,5.0,4.09,C,9,,,neutral,0,polygon
AJG,1,5.0,4.09,C,9,,,neutral,0,polygon
AJINY,3,5.0,4.12,C,9,,,neutral,0,simulated
AKAM,1,5.41,6.59,C,7,,,neutral,0,polygon
AKAN,1,5.0,4.09,C,9,,,neutral,0,polygon
ALAB,3,5.18,5.18,B,2,Semiconductors,0.0,neutral,7,simulated
ALB,1,5.0,4.09,C,9,,,neutral,0,polygon
ALC,1,5.0,4.09,C,9,,,neutral,0,polygon
ALCO,1,5.0,4.09,C,9,,,neutral,0,polygon
ALCY,1,5.09,4.64,A,9,Shell Companies,-23.2,low_volume,6,polygon
ALDF,3,5.31,5.95,B,9,Shell Companies,0.0,neutral,5,simulated
ALF,1,5.0,4.09,C,9,,,neutral,0,polygon
ALFUU,3,5.0,4.12,C,9,,,neutral,0,finnhub
ALGN,1,5.0,4.09,C,9,,,neutral,0,polygon
ALHC,3,5.0,4.12,C,9,,,neutral,0,finnhub
ALISU,1,5.0,4.09,C,9,,,neutral,0,finnhub
ALIT,1,5.97,9.99,A,5,Software - Application,-89.5,neutral,6,polygon
ALKS,1,5.0,4.09,C,9,,,neutral,0,finnhub
ALKT,3,5.0,4.12,C,9,,,neutral,0,polygon
ALL,2,5.0,4.08,C,9,,,neutral,0,simulated
ALLE,1,5.0,4.09,C,9,,,neutral,0,finnhub
ALLR,1,4.85,3.18,A,9,Biotechnology,-27.5,low_volume,6,polygon
ALLY,1,5.52,7.26,A,3,Credit Services,-1.7,neutral,6,polygon
ALMU,1,5.0,4.09,C,9,,,neutral,0,polygon
ALNT,1,5.0,4.09,C,9,,,neutral,0,polygon
ALNY,1,5.0,4.09,C,9,,,neutral,0,polygon
ALOVW,3,5.0,4.12,C,9,,,neutral,0,simulated
ALOY,1,5.0,4.09,C,9,,,neutral,0,finnhub
ALRS,2,5.0,4.08,C,9,,,neutral,0,simulated
ALTI,3,5.0,4.12,C,9,,,neutral,0,simulated
ALVO,3,5.0,4.12,C,9,,,neutral,0,simulated
ALX,3,5.0,4.12,C,9,,,neutral,0,finnhub
ALXO,3,5.0,4.12,C,9,,,neutral,0,finnhub
AMAT,1,5.41,6.59,C,2,,,neutral,0,polygon
AMBA,3,5.41,6.54,C,2,,,neutral,0,simulated
AMBR,1,5.0,4.09,C,9,,,neutral,0,polygon
AMC,1,5.0,4.09,C,9,,,neutral,0,polygon
AMCI,1,5.68,8.23,A,3,Computer Hardware,-79.7,low_volume,8,polygon
AMD,1,5.54,7.38,A,2,Semiconductors,-3.0,neutral,7,polygon
AME,1,5.0,4.09,C,9,,,neutral,0,finnhub
AMGN,1,5.0,4.09,C,9,,,neutral,0,polygon
AMIX,1,5.0,4.09,C,9,,,neutral,0,finnhub
AMKR,3,5.0,4.12,C,9,,,neutral,0,simulated
AMLX,3,5.0,4.12,C,9,,,neutral,0,finnhub
AMN,1,5.0,4.09,C,9,,,neutral,0,finnhub
AMOD,1,4.89,3.42,A,5,Software - Application,-24.9,low_volume,6,polygon
AMPG,3,5.0,4.12,C,9,,,neutral,0,simulated
AMPGZ,2,5.0,4.08,C,9,,,neutral,0,simulated
AMPH,3,5.45,6.77,B,9,Drug Manufacturers - Specialty & Generic,-35.2,low_volume,7,simulated
AMPY,1,5.0,4.09,C,9,,,neutral,0,polygon
AMRC,3,5.0,4.12,C,9,,,neutral,0,simulated
AMRX,1,5.0,4.09,C,9,,,neutral,0,polygon
AMST,1,5.0,4.09,C,9,,,neutral,0,polygon
AMT,1,5.08,4.58,A,9,REIT - Specialty,-16.9,neutral,7,polygon
AMTM,1,5.0,4.09,C,9,,,neutral,0,finnhub
AMTX,1,5.46,6.89,A,9,Specialty Chemicals,-47.3,low_volume,8,polygon
AMWD,3,5.0,4.12,C,9,,,neutral,0,polygon
AMX,1,5.0,4.09,C,9,,,neutral,0,polygon
AMZN,1,5.41,6.59,C,5,,,neutral,0,polygon
AN,2,5.0,4.08,C,9,,,neutral,0,simulated
ANDE,2,5.23,5.51,B,9,Food Distribution,-11.5,neutral,6,simulated
ANDG,3,5.0,4.12,C,9,,,neutral,0,simulated
ANET,1,5.35,6.22,C,3,,,neutral,0,finnhub
ANIK,1,4.92,3.6,A,9,Drug Manufacturers - Specialty & Generic,-9.7,neutral,7,polygon
ANIP,3,5.0,4.12,C,9,,,neutral,0,finnhub
ANY,1,5.0,4.09,C,9,,,neutral,0,finnhub
AOMD,1,5.0,4.09,C,9,,,neutral,0,finnhub
AOMN,3,5.0,4.12,C,9,,,neutral,0,simulated
AON,1,5.0,4.09,C,9,,,neutral,0,polygon
AOS,1,5.42,6.65,A,9,Specialty Industrial Machinery,-23.9,neutral,6,polygon
AOSL,3,5.0,4.12,C,9,,,neutral,0,finnhub
AOUT,1,5.0,4.09,C,9,,,neutral,0,polygon
